"Named tuples are basically easy-to-create, lightweight object types.  Named tuple instances can be referenced using object-like variable dereferencing or the standard tuple syntax.  They can be used similarly to struct or other common record types, except that they are immutable.  They were added in Python 2.6 and Python 3.0, although there is a recipe for implementation in Python 2.4.",A named tuple is a tuple.
From New-style and classic classes:,Declaration-wise:
"The shebang line in any script determines the script's ability to be executed like a standalone executable without typing python beforehand in the terminal or when double clicking it in a file manager (when configured properly). It isn't necessary but generally put there so when someone sees the file opened in an editor, they immediately know what they're looking at. However, which shebang line you use is important.",It's really just a matter of taste. Adding the shebang means people can invoke the script directly if they want (assuming it's marked as executable); omitting it just means python has to be invoked manually.
For Python 2.6 and later and Python 3.x:,"The traceback module provides methods for formatting and printing exceptions and their tracebacks, e.g. this would print exception like the default handler does:"
"You want to use os.path.expanduser.
This will ensure it works on all platforms:",I found that pathlib module also supports this.
"If you need to do this, do",All proposed answers so far seem to miss the fact that a double (floats in python are actually doubles) can also be an integer (if it has nothing after the decimal point).  I use the built-in is_integer() method on doubles to check this.
You can use the isin method:,You can use the method query:
in is definitely more pythonic.,"in wins hands-down, not just in elegance (and not being deprecated;-) but also in performance, e.g.:"
"Use TestCase.assertRaises (or TestCase.failUnlessRaises) from the unittest module, for example:",Since Python 2.7 you can use context manager to get ahold of the actual Exception object thrown:
Don't just hastily pick the first import strategy that works for you or else you'll have to rewrite the codebase later on when you find it doesn't meet your needs.  ,importlib was added to Python 3 to programmatically import a module.
"In Python 3, this question doesn't apply. The plain int type is unbounded.","If you just need a number that's bigger than all others, you can use"
Spreadsheet version
"The special attribute __slots__ allows you to explicitly state which instance attributes you expect your object instances to have, with the expected results:",Quoting Jacob Hallen:
"Really, you just compare the string to whatever you expect to accept as representing true, so you can do this:",Use:
"It is strange how much beauty varies for different people. I find the list comprehension much clearer than filter+lambda, but use whichever you find easier.","This is a somewhat religious issue in Python. Even though Guido considered removing map, filter and reduce from Python 3, there was enough of a backlash that in the end only reduce was moved from built-ins to functools.reduce."
"Per Format Specification Mini-Language,",I got this to work:
"Supposing d is your list of dicts, simply:","The other answers are correct, but not much has been explained in terms of advantages and limitations of these methods. The aim of this post will be to show examples of these methods under different situations, discuss when to use (and when not to use), and suggest alternatives."
"++ is not an operator. It is two + operators. The + operator is the identity operator, which does nothing. (Clarification: the + and - unary operators only work on numbers, but I presume that you wouldn't expect a hypothetical ++ operator to work on strings.)",Python does not have pre and post increment operators.
You would want and instead of &&.,Python uses and and or conditionals.
Are you talking about lambda expressions? Like,"lambda is just a fancy way of saying function. Other than its name, there is nothing obscure, intimidating or cryptic about it. When you read the following line, replace lambda by function in your mind:"
"You can also use the option_context, with one or more options:",No need to hack settings. There is a simple way:
"I detected the peaks using a local maximum filter. Here is the result on your first dataset of 4 paws:
",Data file: paw.txt. Source code:
