question,answer
"Reading the changes in Python 3.1, I found something... unexpected:","Named tuples are basically easy-to-create, lightweight object types.  Named tuple instances can be referenced using object-like variable dereferencing or the standard tuple syntax.  They can be used similarly to struct or other common record types, except that they are immutable.  They were added in Python 2.6 and Python 3.0, although there is a recipe for implementation in Python 2.4."
"Reading the changes in Python 3.1, I found something... unexpected:",A named tuple is a tuple.
What is the difference between old style and new style classes in Python?  When should I use one or the other?,From New-style and classic classes:
What is the difference between old style and new style classes in Python?  When should I use one or the other?,Declaration-wise:
Should I put the shebang in my Python scripts? In what form?,"The shebang line in any script determines the script's ability to be executed like a standalone executable without typing python beforehand in the terminal or when double clicking it in a file manager (when configured properly). It isn't necessary but generally put there so when someone sees the file opened in an editor, they immediately know what they're looking at. However, which shebang line you use is important."
Should I put the shebang in my Python scripts? In what form?,It's really just a matter of taste. Adding the shebang means people can invoke the script directly if they want (assuming it's marked as executable); omitting it just means python has to be invoked manually.
How can I print the error/exception in my except: block?,For Python 2.6 and later and Python 3.x:
How can I print the error/exception in my except: block?,"The traceback module provides methods for formatting and printing exceptions and their tracebacks, e.g. this would print exception like the default handler does:"
"I need to get the location of the home directory of the current logged-on user. Currently, I've been using the following on Linux:","You want to use os.path.expanduser.
This will ensure it works on all platforms:"
"I need to get the location of the home directory of the current logged-on user. Currently, I've been using the following on Linux:",I found that pathlib module also supports this.
The community reviewed whether to reopen this question last month and left it closed:,"If you need to do this, do"
The community reviewed whether to reopen this question last month and left it closed:,All proposed answers so far seem to miss the fact that a double (floats in python are actually doubles) can also be an integer (if it has nothing after the decimal point).  I use the built-in is_integer() method on doubles to check this.
Let’s say I have the following Pandas dataframe:,You can use the isin method:
Let’s say I have the following Pandas dataframe:,You can use the method query:
I wonder what is better to do:,in is definitely more pythonic.
I wonder what is better to do:,"in wins hands-down, not just in elegance (and not being deprecated;-) but also in performance, e.g.:"
How does one write a unittest that fails only if a function doesn't throw an expected exception?,"Use TestCase.assertRaises (or TestCase.failUnlessRaises) from the unittest module, for example:"
How does one write a unittest that fails only if a function doesn't throw an expected exception?,Since Python 2.7 you can use context manager to get ahold of the actual Exception object thrown:
How do I import other files in Python?,Don't just hastily pick the first import strategy that works for you or else you'll have to rewrite the codebase later on when you find it doesn't meet your needs.  
How do I import other files in Python?,importlib was added to Python 3 to programmatically import a module.
