question,answer
How to set the current working directory in Python?,Try os.chdir
How to set the current working directory in Python?,Perhaps this is what you are looking for:
After you train a model in Tensorflow: ,I am improving my answer to add more details for saving and restoring models. 
After you train a model in Tensorflow: ,"In (and after) TensorFlow version 0.11.0RC1, you can save and restore your model directly by calling tf.train.export_meta_graph and tf.train.import_meta_graph according to https://www.tensorflow.org/programmers_guide/meta_graph."
"Just like C, you can break a long line into multiple short lines. But in Python, if I do this, there will be an indent error... Is it possible?",From PEP 8 - Style Guide for Python Code:
"Just like C, you can break a long line into multiple short lines. But in Python, if I do this, there will be an indent error... Is it possible?",There is more than one way to do it.
How would one create an iterative function (or iterator object) in python?,"Iterator objects in python conform to the iterator protocol, which basically means they provide two methods: __iter__()  and  __next__().  "
How would one create an iterative function (or iterator object) in python?,There are four ways to build an iterative function:
"What is the python keyword ""with"" used for?","In python the with keyword is used when working with unmanaged resources (like file streams). It is similar to the using statement in VB.NET and C#. It allows you to ensure that a resource is ""cleaned up"" when the code that uses it finishes running, even if exceptions are thrown. It provides 'syntactic sugar' for try/finally blocks."
"What is the python keyword ""with"" used for?",Explanation from the Pershing on Programming blog:
"Sometimes I want to just insert some print statements in my code, and see what gets printed out when I exercise it. My usual way to ""exercise"" it is with existing pytest tests. But when I run these, I don't seem able to see any standard output (at least from within PyCharm, my IDE).",The -s switch disables per-test capturing (only if a test fails).
"Sometimes I want to just insert some print statements in my code, and see what gets printed out when I exercise it. My usual way to ""exercise"" it is with existing pytest tests. But when I run these, I don't seem able to see any standard output (at least from within PyCharm, my IDE).","pytest captures the stdout from individual tests and displays them only on certain conditions, along with the summary of the tests it prints by default."
I understand how this construct works:,A common construct is to run a loop until something is found and then to break out of the loop. The problem is that if I break out of the loop or the loop ends I need to determine which case happened. One method is to create a flag or store variable that will let me do a second test to see how the loop was exited.
I understand how this construct works:,"It's a strange construct even to seasoned Python coders. When used in conjunction with for-loops it basically means ""find some item in the iterable, else if none was found do ..."". As in:"
"I'm new to Python and I'm just trying to understand how its packages work.  Presumably eggs are some sort of packaging mechanism, but what would be a quick overview of what role they play and may be some information on why they're useful and how to create them?",Note: Egg packaging has been superseded by Wheel packaging.
"I'm new to Python and I'm just trying to understand how its packages work.  Presumably eggs are some sort of packaging mechanism, but what would be a quick overview of what role they play and may be some information on why they're useful and how to create them?","The .egg file is a distribution format for Python packages. It’s just an alternative to a source code distribution or Windows exe. But note that for pure Python, the .egg file is completely cross-platform."
My Google-fu has failed me.,"is will return True if two variables point to the same object (in memory), == if the objects referred to by the variables are equal."
My Google-fu has failed me.,There is a simple rule of thumb to tell you when to use == or is.
I am interested in knowing how to convert a pandas dataframe into a NumPy array.,It's time to deprecate your usage of values and as_matrix().
I am interested in knowing how to convert a pandas dataframe into a NumPy array.,"To convert a pandas dataframe (df) to a numpy ndarray, use this code:"
"I am using Python 3.1 and can't get the raw_input to ""freeze"" the dos pop-up. The book I'm reading is for Python 2.5 and I'm using Python 3.1","Starting with Python 3, raw_input() was renamed to input()."
"I am using Python 3.1 and can't get the raw_input to ""freeze"" the dos pop-up. The book I'm reading is for Python 2.5 and I'm using Python 3.1",This works in Python 3.x and 2.x:
"I'm using virtualenv and I need to install ""psycopg2"".","Note: Since a while back, there are binary wheels for Windows in PyPI, so this should no longer be an issue for Windows users. Below are solutions for Linux, Mac users, since lots of them find this post through web searches."
"I'm using virtualenv and I need to install ""psycopg2"".","On CentOS, you need the postgres dev packages:"
"I'm working on a python script that starts several processes and database connections. Every now and then I want to kill the script with a Ctrl+C signal, and I'd like to do some cleanup.",Register your handler with signal.signal like this:
"I'm working on a python script that starts several processes and database connections. Every now and then I want to kill the script with a Ctrl+C signal, and I'd like to do some cleanup.","You can treat it like an exception (KeyboardInterrupt), like any other. Make a new file and run it from your shell with the following contents to see what I mean:"
I am trying to save a csv to a folder after making some edits to the file. ,Use index=False.
I am trying to save a csv to a folder after making some edits to the file. ,There are two ways to handle the situation where we do not want the index to be stored in csv file.
"I want to install pip. It should support Python 3, but it requires setuptools, which is available only for Python 2.",edit: Manual installation and use of setuptools is not the standard process anymore.
"I want to install pip. It should support Python 3, but it requires setuptools, which is available only for Python 2.",I was able to install pip for python 3 on Ubuntu just by running sudo apt-get install python3-pip. 
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","There are a bunch of ways to do it, but the most straightforward is to simply 
use the Python debugger. Just add following line in to a Django view function:"
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","I really like Werkzeug's interactive debugger. It's similar to Django's debug page, except that you get an interactive shell on every level of the traceback. If you use the django-extensions, you get a runserver_plus managment command which starts the development server and gives you Werkzeug's debugger on exceptions."
Is there a built-in function for getting the size of a file object in bytes? I see some people do something like this:,Use os.path.getsize(path) which will
Is there a built-in function for getting the size of a file object in bytes? I see some people do something like this:,"Return the size, in bytes, of path. Raise os.error if the file does not exist or is inaccessible."
What is the difference between the search() and match() functions in the Python re module?,"re.match is anchored at the beginning of the string. That has nothing to do with newlines, so it is not the same as using ^ in the pattern."
What is the difference between the search() and match() functions in the Python re module?,search ⇒ find something anywhere in the string and return a match object.
"The documentation for the argparse python module, while excellent I'm sure, is too much for my tiny beginner brain to grasp right now. I don't need to do math on the command line or meddle with formatting lines on the screen or change option characters. All I want to do is ""If arg is A, do this, if B do that, if none of the above show help and quit"".",Here's the way I do it with argparse (with multiple args):
"The documentation for the argparse python module, while excellent I'm sure, is too much for my tiny beginner brain to grasp right now. I don't need to do math on the command line or meddle with formatting lines on the screen or change option characters. All I want to do is ""If arg is A, do this, if B do that, if none of the above show help and quit"".","My understanding of the original question is two-fold. First, in terms of the simplest possible argparse example, I'm surprised that I haven't seen it here. Of course, to be dead-simple, it's also all overhead with little power, but it might get you started."
"I’m trying to port an open-source library to Python 3.  (SymPy, if anyone is wondering.) ","As of March 2020, most of the other answers to this question are several years out-of-date. When you come across advice on Python packaging issues, remember to look at the date of publication, and don't trust out-of-date information."
"I’m trying to port an open-source library to Python 3.  (SymPy, if anyone is wondering.) ","I’m a distutils maintainer and distutils2/packaging contributor.  I did a talk about Python packaging at ConFoo 2011 and these days I’m writing an extended version of it.  It’s not published yet, so here are excerpts that should help define things."
"I'm writing a Python application that takes as a command as an argument, for example:","With Python older than 2.7/3.1, that's pretty much how you do it."
"I'm writing a Python application that takes as a command as an argument, for example:",The recommended way for Python 2.7 and 3.1 and later is to use importlib module:
I've installed a library using the command,Normally your requirements.txt file would look something like this:
I've installed a library using the command,"“Editable” packages syntax can be used in requirements.txt to import packages from a variety of VCS (git, hg, bzr, svn):"
I have a function that analyzes a CSV file with Pandas and produces a dict with summary information. I want to return the results as a response from a Flask view. How do I return a JSON response?,As of Flask 1.1.0 a view can directly return a Python dict and Flask will call jsonify automatically.
I have a function that analyzes a CSV file with Pandas and produces a dict with summary information. I want to return the results as a response from a Flask view. How do I return a JSON response?,"jsonify serializes the data you pass it to JSON. If you want to serialize the data yourself, do what jsonify does by building a response with status=200 and mimetype='application/json'."
I haven't been able to find an understandable explanation of how to actually use Python's itertools.groupby() function.  What I'm trying to do is this:,IMPORTANT NOTE: You have to sort your data first.
I haven't been able to find an understandable explanation of how to actually use Python's itertools.groupby() function.  What I'm trying to do is this:,itertools.groupby is a tool for grouping items.
I am printing Python exception messages to a log file with logging.error:,logger.exception will output a stack trace alongside the error message.
I am printing Python exception messages to a log file with logging.error:,"Using exc_info options may be better, to allow you to choose the error level (if you use exception, it will always be at the error level): "
"I want my Python function to split a sentence (input) and store each word in a list. My current code splits the sentence, but does not store the words as a list. How do I do that?","This should be enough to store each word in a list.  words is already a list of the words from the sentence, so there is no need for the loop."
"I want my Python function to split a sentence (input) and store each word in a list. My current code splits the sentence, but does not store the words as a list. How do I do that?",Splits the string in text on any consecutive runs of whitespace.
Python has an ordered dictionary. What about an ordered set?,"There is an ordered set (possible new link) recipe for this which is referred to from the Python 2 Documentation. This runs on Py2.6 or later and 3.0 or later without any modifications. The interface is almost exactly the same as a normal set, except that initialisation should be done with a list."
